birthdate	sex	registration	user_id	race	old_user_id
1965-08-08	F	2020-09-18	782		782
		2021-05-14	2158		2158
		2017-06-23	747		747
2003-02-24	F	2019-05-16	2204		2204
		2019-10-28	720		720
		2018-05-21	2421	unspecified	2421
	M	2019-06-06	1454		1454
	F	2021-02-01	1642		1642
	F	2014-02-05	2161		2161
		2014-07-08	356	black	356
1913-02-23	F	2023-04-27	215		215
1933-05-14		2019-04-05	366		366
2012-08-07		2022-06-11	2166	asian	2166
	F	2016-03-16	1914	unspecified	1914
1955-10-22		2021-01-28	133	white	133
	M	2015-07-14	926		926
1959-12-31		2014-05-18	2536		2536
		2017-07-22	589		589
	F	2014-08-11	1996		1996
1934-04-06	M	2015-04-16	1365		1365
		2018-10-20	1326	unspecified	1326
1936-10-25		2014-03-26	1351		1351
1968-04-22		2016-09-30	362		362
1924-02-14		2021-01-17	1229		1229
	M	2020-11-20	2082		2082
1944-04-16	M	2018-11-08	2383		2383
1978-04-04	F	2017-06-25	1279		1279
2005-04-21	F	2020-08-29	2266	white	2266
		2013-11-15	567	asian	567
1972-04-26	M	2022-07-03	1941		1941
2013-12-16		2020-12-19	282		282
1931-01-13		2015-07-31	1238		1238
1958-05-25		2018-02-25	2026		2026
	M	2019-09-12	804		804
1971-01-06	M	2019-07-11	1075		1075
1943-10-03		2019-08-30	2184	asian	2184
1929-01-29	F	2022-12-19	2379	indian	2379
	M	2022-03-24	2251		2251
1971-06-02		2016-12-04	999		999
1910-12-01		2013-10-16	1394	white	1394
	F	2017-01-13	594		594
1975-01-11	F	2015-02-06	391		391
		2020-12-25	1375		1375
1918-12-15	F	2022-12-18	2457		2457
		2019-03-18	829	white	829
1988-04-08		2014-12-28	58	asian	58
	F	2018-09-07	1332		1332
1920-08-17	M	2020-07-20	1648		1648
1993-08-12	F	2023-06-03	809		809
		2016-12-22	708		708
	M	2015-10-31	2096		2096
	M	2019-01-19	482		482
		2017-12-18	1118	black	1118
		2018-11-13	1819		1819
1942-08-19		2016-09-29	577		577
1985-12-29		2022-08-06	1695		1695
1914-04-22	M	2022-09-16	2050	asian	2050
1920-11-15		2019-09-28	1403	black	1403
1936-02-15	M	2019-03-21	2570	asian	2570
2009-05-28	M	2017-05-21	2246		2246
	M	2015-09-26	1717		1717
1938-01-10	F	2015-02-24	1556		1556
	F	2017-04-17	429		429
	F	2019-11-03	2195	white	2195
1911-07-08		2017-02-09	793		793
1923-08-21	M	2021-05-20	2065		2065
	F	2020-09-05	541		541
2000-04-10		2015-03-03	188	asian	188
1968-12-21		2019-05-20	735		735
1954-04-05	F	2022-11-28	1982	unspecified	1982
		2020-08-24	432		432
1958-08-25		2014-04-21	2232		2232
	M	2022-05-26	265	asian	265
	M	2015-04-02	1367		1367
1921-07-30	M	2017-01-28	140		140
	F	2015-03-26	1779	black	1779
2010-02-02	M	2020-10-09	2306	black	2306
1979-01-28		2016-04-29	2571	unspecified	2050
		2022-06-19	2216	indian	2216
1932-06-15		2020-01-19	417		417
1981-08-06	F	2018-10-06	707		707
1999-08-26		2019-03-14	1185		1185
2019-08-17		2016-08-22	339	white	339
1952-06-26		2014-12-28	2572		1351
1919-07-28		2016-08-08	2023		2023
2014-11-16		2022-06-11	2522		2522
1964-06-30		2022-12-02	1577	asian	1577
	F	2016-02-23	369		369
		2018-08-19	1223		1223
1947-01-10		2015-02-07	873		873
		2017-02-14	2548		2548
1968-10-26		2022-06-04	1877		1877
1972-11-13		2018-12-11	290		290
1920-08-17	F	2017-11-15	1210	asian	1210
		2020-02-02	990		990
		2021-12-11	538		538
1999-02-21		2016-01-22	760		760
2000-06-28		2021-04-26	1863		1863
2004-08-27		2020-04-19	1038		1038
1945-10-31		2015-12-15	2263	white	2263
1944-03-18	F	2022-12-15	1146		1146
2001-08-13		2018-11-23	561		561
		2014-12-20	379		379
		2021-01-24	2005		2005
1952-06-27		2016-07-05	154		154
1914-11-16	M	2016-07-12	1349	asian	1349
1915-10-12	M	2014-05-08	367		367
	M	2020-12-27	2573		1982
1968-02-12	M	2021-11-13	399		399
	M	2015-06-13	1040		1040
	F	2022-05-26	1989		1989
2005-03-16	M	2017-05-24	214		214
1936-02-25	F	2018-04-07	2494		2494
1924-08-11		2018-08-23	1209	white	1209
	F	2015-01-22	1251	white	1251
1920-11-30		2023-09-04	2269		2269
1929-05-18	F	2019-12-11	153	black	153
		2015-08-25	1012	black	1012
1935-03-08		2015-02-13	1061		1061
1914-12-30		2022-08-11	3		3
	F	2017-05-09	489		489
		2018-03-03	2233		2233
2009-09-06	F	2015-02-15	1240		1240
		2015-02-26	526		526
1963-10-23	F	2017-04-07	2568		2568
	F	2023-06-29	915	white	915
1921-06-01	F	2020-10-27	1563		1563
1972-02-08		2016-05-04	845	white	845
		2015-11-17	1679		1679
2005-07-29		2021-04-19	2054		2054
2019-04-23		2021-04-08	1110	black	1110
2012-02-04	M	2017-04-11	1162		1162
		2015-11-09	2427	asian	2427
1925-07-15		2014-12-17	2532		2532
	F	2021-04-11	406		406
1917-02-23		2021-06-24	1434		1434
		2015-08-07	42		42
1916-12-16	M	2017-05-30	1295		1295
		2023-01-24	685		685
1956-10-16		2019-04-12	494		494
	F	2016-08-06	870	unspecified	870
		2018-09-22	1046		1046
		2017-06-17	2390		2390
2009-05-30	F	2021-12-21	1334		1334
	F	2014-05-25	1573		1573
		2022-07-16	1269	black	1269
		2023-05-30	1249		1249
1953-08-07		2013-11-19	2381		2381
1975-09-30		2018-12-05	1817		1817
1934-09-04	F	2015-03-16	2524		2524
1946-06-26	F	2020-02-11	898		898
1935-10-14	M	2016-03-06	1575		1575
	M	2020-02-09	587		587
1913-01-16	F	2023-01-13	1021	asian	1021
1909-07-07	F	2020-08-17	757		757
1909-08-06	F	2020-01-22	2220		2220
1996-10-08	F	2020-11-01	2031		2031
1995-07-09	F	2021-04-14	2102	black	2102
1920-06-12	F	2017-07-23	1502		1502
1993-10-16	M	2017-11-10	1701	indian	1701
2014-12-12	F	2019-03-31	1261		1261
1925-10-13		2016-10-20	1109	asian	1109
1929-08-23	F	2017-10-06	1144		1144
	M	2014-07-25	1963	white	1963
		2014-02-11	2318		2318
1966-01-22	F	2015-06-28	1625		1625
1920-12-05	F	2023-01-10	1632		1632
		2021-10-21	207	unspecified	207
1978-02-13		2021-06-29	2528		2528
1935-07-19		2018-10-01	1418		1418
	F	2016-05-09	974		974
1924-09-19	F	2022-08-19	1867	white	1867
	F	2022-12-26	1593	unspecified	1593
		2018-05-04	1801	black	1801
	M	2019-07-29	1886		1886
		2015-09-07	1189		1189
1975-12-29	M	2017-01-22	1356		1356
1930-07-01		2017-09-22	2478		2478
1993-12-27		2018-06-25	1521	white	1521
	F	2020-08-30	521		521
	M	2013-10-21	112	unspecified	112
		2023-04-24	810		810
1956-04-23	M	2017-12-14	1826	black	1826
1942-07-27		2017-10-09	599		599
		2022-01-15	1461		1461
1932-07-19		2021-09-03	2384		2384
		2022-11-06	1468		1468
2007-10-23	M	2022-01-28	1412		1412
	F	2021-10-09	677		677
	M	2017-11-22	1471		1471
	F	2016-11-13	1337	unspecified	1337
1963-02-28		2016-08-28	1161		1161
		2013-10-10	73		73
		2014-10-07	119		119
		2014-07-24	888	black	888
1948-10-05		2018-03-09	2517		2517
